축제명,개최장소,축제시작일자,축제종료일자,축제내용,주관기관,주최기관,후원기관,전화번호,홈페이지주소,관련정보,소재지도로명주소,소재지지번주소,위도,경도,데이터기준일자,제공기관코드,제공기관명
2021 수원화성 미디어아트쇼,화서문 일원,2021-09-17,2021-10-17,"수원화성 대표 건축물에 프로젝션 맵핑, 인터렉티브 미디어아트, 레이저 등 디지털 미디어 기술을 활용한 미디어아트쇼",(재)수원문화재단,수원시,,031-228-2415,,,,경기도 수원시 팔달구 장안동 332,37.285580362,127.009693534,2021-06-02,3740000,경기도 수원시
해맞이 행사,오봉산 등,2021-01-01,2021-01-01,"새해 소원빌기 행사, 새해안녕기원행사,해맞이공연, 먹거리제공 등",북구청 문화예술과,공모사업,,,,,,대구광역시 북구 구암동 349,35.932373,128.567659,2021-06-01,3450000,대구광역시 북구
금호강 정월대보름축제,산격대교 하단,1900-01-01,1900-01-01,"달집태우기, 달맞이 행사 등",북구청 문화예술과,공모사업,,,,매년 정월대보름,,대구광역시 북구 산격동 1477-1,35.90950187,128.6039932,2021-06-01,3450000,대구광역시 북구
정월대보름달맞이축제,신천변 생활체육광장,2014-02-14,2014-02-14,"달집태우기, 민속놀이, 먹거리 등",민주평화통일자문회의중구지회,대구광역시 중구,대구광역시 중구,053-661-2631,,,,대구광역시 중구 동인동2가 177-4,35.86932522,128.6061572,2021-07-01,3410000,대구광역시 중구
정월대보름달맞이축제,신천변 생활체육광장,2015-03-05,2015-03-05,"달집태우기, 민속놀이, 먹거리 등",민주평화통일자문회의중구지회,대구광역시 중구,대구광역시 중구,053-661-2631,,,,대구광역시 중구 동인동2가 177-4,35.86932522,128.6061572,2021-07-01,3410000,대구광역시 중구
정월대보름달맞이축제,신천변 생활체육광장,2016-02-22,2016-02-22,"달집태우기, 민속놀이, 먹거리 등",민주평화통일자문회의중구지회,대구광역시 중구,대구광역시 중구,053-661-2631,,,,대구광역시 중구 동인동2가 177-4,35.86932522,128.6061572,2021-07-01,3410000,대구광역시 중구
봉산도예전,봉산문화거리,2011-04-07,2011-04-13,도예전시 및 부대행사,봉산문화협회,봉산문화협회,대구광역시 중구,053-661-2174,,,,대구광역시 중구 봉산동 133-19,35.863797,128.596776,2021-07-01,3410000,대구광역시 중구
봉산도예전,봉산문화거리,2013-04-09,2014-04-17,도예전시 및 부대행사,봉산문화협회,봉산문화협회,대구광역시 중구,053-661-2174,,,,대구광역시 중구 봉산동 133-19,35.863797,128.596776,2021-07-01,3410000,대구광역시 중구
봉산도예전,봉산문화거리,2014-04-11,2014-04-17,도예전시 및 부대행사,봉산문화협회,봉산문화협회,대구광역시 중구,053-661-2174,,,,대구광역시 중구 봉산동 133-19,35.863797,128.596776,2021-07-01,3410000,대구광역시 중구
봉산도예전,봉산문화거리,2015-05-01,2015-05-05,도예전시 및 부대행사,봉산문화협회,봉산문화협회,대구광역시 중구,053-661-2174,,,,대구광역시 중구 봉산동 133-19,35.863797,128.596776,2021-07-01,3410000,대구광역시 중구
김천국제가족연극제,김천문화예술회관,2019-07-19,2019-07-28,연극공연 및 연기콘테스트 등,김천국제가족연극제추진위원회 영남일보,김천시,"한국문화예술위원회, 경상북도,경상북도교육청",054-435-8279,www.gitf.co.kr,-,경상북도 김천시 영남대로 1321,경상북도 김천시 백옥동 77-1,36.125843,128.081077,2019-12-20,5060000,경상북도 김천시
김천예술제,김천시 일원,2019-10-10,2019-10-20,시민촬영대회 시민가요제 청소년가요제 동화구연대회 등,한국예총 김천지회,김천시,,054-433-5558,www.artgc.or.kr,-,경상북도 김천시 남산동 3-14,경상북도 김천시 남산동 3-14,36.118896,128.122050,2019-12-20,5060000,경상북도 김천시
정월대보름달맞이축제,직지천 고수부지,2019-02-22,2019-02-22,달집태우기 줄다리기 등,김천문화원,김천시,,054-434-4336,www.gcculture.or.kr,-,경상북도 김천시 남산동 3-1,경상북도 김천시 남산동 3-1,36.118748,128.1221091661,2019-12-20,5060000,경상북도 김천시
김천자두포도축제,김천시종합스포츠타운 및 체험농장,2019-07-18,2019-07-21,자두포도 품평회 자두포도 수확체험 각종 문화예술공연 등,김천시자두포도축제추진위원회,김천시,,054-421-2602,www.gcjadu.com,"특산물(자두, 포도)",경상북도 김천시 운동장길 1,경상북도 김천시 삼락동 488-1,36.144924,128.088088,2019-12-20,5060000,경상북도 김천시
2019 보정역생활문화센터 <청춘파티  - 특별프로그램>,보정역생활문화센터,2019-12-13,2019-12-13,"강연자, 참여자가 ''인생'', ''청춘'', ''문화''를 키워드로 모여 능정적 참여자로서 서로에게 배우는 생활 속 프로그램",용인문화재단,용인문화재단,,031-260-3320,www.yicf.or.kr,,경기도 용인시 기흥구 용구대로 2585,경기도 용인시 기흥구 보정동 568 보정역 생활문화센터,37.31629272,127.1081614,2019-12-09,4050000,경기도 용인시
대구치맥페스티벌,두류공원,2021-07-01,2021-11-30,"치맥 테마 식음, 체험, 공연, 참여프로그램 운영 등",대구치맥페스티벌 조직위원회,사단법인한국치맥산업협회,,053-248-9998,http://www.daegu.go.kr/,개최일자 미정,대구광역시 중구 공평로 88(동인동1가),,35.87155388,128.6012200693,2021-04-21,6270000,대구광역시
디지털패션문화페스티벌,공원,2021-09-01,2021-09-30,"디지털 패션쇼, 패션아트 전시 및 공연, 이커머스 라이브 마켓 등",한국패션산업연구원,대구광역시 섬유패션과,,053-721-7434,http://www.daegu.go.kr/,개최일자 미정,대구광역시 중구 공평로 88(동인동1가),,35.87155388,128.6012200693,2021-04-21,6270000,대구광역시
대구포크페스티벌,공원,2021-10-01,2021-10-31,"포크송 및 버스킹 공연, 언택트 공연 100인 랜선 합창 등",사단법인대구포크페스티벌,대구광역시 문화예술정책과,,053-626-2015,http://www.daegu.go.kr/,개최일자 미정,대구광역시 중구 공평로 88(동인동1가),,35.87155388,128.6012200693,2021-04-21,6270000,대구광역시
대한민국 국향대전,함평엑스포공원,2021-10-20,2021-11-10,"국화를 소재로 한 전시, 문화, 체험행사 및 우수특산품 전시, 판매 등",함평군축제추진위원회,함평군,미정,061-320-2213,www.hampyeong.go.kr,,전라남도 함평군 함평읍 곤재로 27,전라남도 함평군 함평읍 수호리 1153-1,35.05813923,126.5226056,2021-06-09,4960000,전라남도 함평군
상주해돋이&물메기축제,상주은모래비치,2021-12-31,2022-01-01,물메기먹거리행사 및 해돋이 행사,상주면연합청년회,경상남도 남해군,경상남도 남해군,,http://tour.namhae.go.kr/main.web,상주은모래비치,,경상남도 남해군 상주면 상주리 2182-2,34.71965343,127.9850709,2021-06-02,5430000,경상남도 남해군
가천다랭이마을해맞이행사,다랭이마을,2022-01-01,2022-01-01,"소원문 쓰기, 떡국나눔행사 등",가천마을회,경상남도 남해군,경상남도 남해군,,http://tour.namhae.go.kr/main.web,다랭이마을,경상남도 남해군 남면 남면로 702 공중화장실 및 주차장,경상남도 남해군 남면 홍현리 839,34.72803665,127.890955,2021-06-02,5430000,경상남도 남해군
독일마을 맥주축제,삼동면 독일마을,2021-10-08,2021-10-10,"환영 퍼레이드, 파독광부 간호사 토크콘서트, 옥토버 챌린지 등",독일마을맥주축제추진단,경상남도 남해군,경상남도 남해군,,http://tour.namhae.go.kr/main.web,원예예술촌,경상남도 남해군 삼동면 독일로 92,경상남도 남해군 삼동면 봉화리 2571,34.80085956,128.0384333,2021-06-02,5430000,경상남도 남해군
상주은모래비치 썸머페스티벌,상주은모래비치,2021-08-06,2021-08-08,"뮤직페스티벌, EDM공연, 치맥파티,카약체험 등",상주면연합청년회,경상남도 남해군,경상남도 남해군,,http://tour.namhae.go.kr/main.web,남해금산,,경상남도 남해군 상주면 상주리 603-7,34.72081893,127.9885069,2021-06-02,5430000,경상남도 남해군
부안마실축제,부안읍 일원(주행사장: 매창공원),2021-05-01,2021-06-30,개막공연등 5종 46개 프로그램 운영,부안마실축제제전위원회,부안마실축제제전위원회,부안군,063-580-4778,http://www.buanmasil.com/,,전라북도 부안군 부안읍 매창로 89,전라북도 부안군 부안읍 서외리 566,35.71882124,126.7286953,2021-06-08,4790000,전라북도 부안군
응봉산 개나리축제,서울특별시 성동구 응봉동 응봉산,2021-04-01,2021-04-03,"개나리꽃 개화시기에 맞춰 응봉산 일원에서 백일장, 그림그리기, 콘서트 등 개최",서울특별시 성동구청,서울특별시 성동구청,,02-2286-5203,www.sd.go.kr,,서울특별시 성동구 응봉동 응봉산,서울특별시 성동구 응봉동 응봉산,37.548551,127.030821,2021-06-08,3030000,서울특별시 성동구
양양송이축제,양양남대천 둔치 및 부대행사장,2019-09-26,2019-09-29,"송이채취현장체험, 송이보물찾기체험 등",양양문화재단,양양군,,033-670-1760,https://tour.yangyang.go.kr/tour/festival/festival_mushroom,,,강원도 양양군 양양읍 남문리 226-2,38.073761,128.625101,2021-06-05,4350000,강원도 양양군
문경약돌한우축제,문경새재도립공원일원,2021-08-28,2021-08-29,문경약돌한우 홍보,문경약돌한우축제추진위원회,문경시청,,054-571-7677,http://mghanwoo.or.kr/,코로나19로 인한 취소,경상북도 문경시 문경읍 새재로932,경상북도 문경시 문경읍 상초리 288-1,36.76160207,128.0769905,2021-06-02,5120000,경상북도 문경시
문경오미자축제,문경동로초등학교일원,2021-09-17,2021-09-19,문경오미자 홍보,문경오미자축제추진위원회,문경시청,,054-571-7677,http://www.mg5mija.or.kr/,,경상북도 문경시 동로면 노은2길 4,경상북도 문경시 동로면 노은리 155-2,36.7715572,128.3153048,2021-06-02,5120000,경상북도 문경시
문경사과축제,문경새재도립공원일원,2021-10-16,2021-10-31,문경사과 홍보,문경사과축제추진위원회,문경시청,,054-571-7677,http://www.mgapple.or.kr/,,경상북도 문경시 문경읍 새재로932,경상북도 문경시 문경읍 상초리 288-1,36.76160207,128.0769905,2021-06-02,5120000,경상북도 문경시
황룡강 (洪)길동무 꽃길 축제,"황룡강변 일원, 홍길동테마파크",2019-05-24,2019-05-26,"공연,체험,판매행사 등",장성군축제위원회,장성군,"전라남도, 한국관광공사 등",061-390-7242,https://www.jangseong.go.kr/home/tour_new/festival/festival_04/festival_04_02,"황룡강,옐로우시티,홍길동테마파크",,전라남도 장성군 장성읍 기산리 461-1,35.306981,126.777431,2021-06-02,4980000,전라남도 장성군
백양단풍축제,"국립공원 백암산, 백양사 일원",2018-11-02,2018-11-11,"공연,체험,판매행사 등",장성군축제위원회,장성군,"전라남도, 한국관광공사 등",061-390-7242,https://www.jangseong.go.kr/home/tour_new/festival/festival_04/festival_04_05,"백양사,애기단풍",전라남도 장성군 북하면 백양로 1239,전라남도 장성군 북하면 약수리 26,35.43972586,126.8828597,2021-06-02,4980000,전라남도 장성군
축령산 편백산소축제,축령산 조림성공지,2019-10-05,2019-10-05,"공연,체험,판매행사 등",장성군축제위원회,장성군,,061-390-7242,https://www.jangseong.go.kr/home/tour_new/festival/festival_04/festival_04_03,축령산 편백숲,,전라남도 장성군 서삼면 모암리 569-5,35.378659,126.743903,2021-06-02,4980000,전라남도 장성군
정월대보름달맞이축제,신천변 생활체육광장,2013-02-22,2013-02-22,"달집태우기, 민속놀이, 먹거리 등",민주평화통일자문회의중구지회,대구광역시 중구,대구광역시 중구,053-661-2631,,,,대구광역시 중구 동인동2가 177-4,35.86932522,128.6061572,2021-07-01,3410000,대구광역시 중구
계양산국악제,계양문화회관,2020-09-12,2020-09-12,"국악경연대회(예선 : 온라인심사, 결선 : 대면심사), 국악 오아시스 공연(온라인)",계양구,계양구,인천광역시,032-450-5873,,,인천광역시 계양구 계양산로35번길 11,,37.54607851,126.7181298,2021-05-27,3550000,인천광역시 계양구
제1회 대청호 벚꽃축제,대전광역시 동구 신상동 282번지 일원,2019-04-05,2019-04-07,"벚꽃축제, 벚꽃가요제, 벚꽃길 걷기대회 등",대전광역시 동구청(대행사: 대전문화방송),대전광역시 동구청,,042-251-6685,http://www.donggu.go.kr,,,대전광역시 동구 신상동 282,36.35440166,127.4979451,2021-04-30,3640000,대전광역시 동구
대전효문화뿌리축제,뿌리공원 및 원도심 일원,2019-09-27,2019-09-29,"개폐막행사, 문중(문화)행사, 체험(참여)행사, 전시행사, 부대행사",대전효문화뿌리축제추진위원회,대전광역시 중구,,042-606-6291,https://www.djjunggu.go.kr/hyo-ppuri/index.do,뿌리공원,대전광역시 중구 뿌리공원로 47,대전광역시 중구 안영동 71-2,36.28533721,127.3844931,2021-05-26,3650000,대전광역시 중구
광양매화축제,다압면 섬진마을 일원,2021-01-01,2021-12-31,"공연,경연,체험,전시,판매,부대행사",광양매화축제추진위원회,광양시,,061-797-2721,http://www.gwangyang.go.kr/tour_culture,,전라남도 광양시 시청로 33,전라남도 광양시 중동 1313,34.94063056,127.6959675,2021-05-26,4840000,전라남도 광양시
백운산국사봉철쭉축제,옥곡면 국사봉랜드,2021-01-01,2021-12-31,"공연,경연,체험,전시,판매,부대행사",백운산국사봉철쭉축제추진위원회,광양시,,061-797-4233,http://www.gwangyang.go.kr/tour_culture,,전라남도 광양시 옥곡면 옥진로 665-1,전라남도 광양시 옥곡면 수평리 131-3,34.98936299,127.7001825,2021-05-26,4840000,전라남도 광양시
광양전어축제,진월면 망덕포구 일원,2021-01-01,2021-12-31,"공연,경연,체험,전시,판매,부대행사",광양전어축제추진위원회,광양시,,061-797-3679,http://www.gwangyang.go.kr/tour_culture,,전라남도 광양시 진월면 망덕길 265,전라남도 광양시 진월면 망덕리 12-1,34.97164706,127.7587907,2021-05-26,4840000,전라남도 광양시
광양숯불구이축제,광양읍 서천변 일원,2021-01-01,2021-12-31,"공연,경연,체험,전시,판매,부대행사",광양숯불구이축제추진위원회,광양시,,061-797-4903,http://www.gwangyang.go.kr/tour_culture,,전라남도 광양시 광양읍 남등길 6,전라남도 광양시 광양읍 칠성리 946,34.9733415,127.5810489,2021-05-26,4840000,전라남도 광양시
옥천군 평생학습 어울림 축제,옥천군 평생학습원 일원,2021-09-11,2021-09-11,"평생학습 동아리 공연, 전시, 체험, 프리마켓 등",옥천군,옥천군,,043-730-3606,http://www.oc.go.kr/edulife/index.do,"평생학습원, 옥천군민도서관",충청북도 옥천군 옥천읍 관성로4길 10,충청북도 옥천군 옥천읍 문정리 366,36.30042417,127.5749213,2021-05-26,4430000,충청북도 옥천군
옥천군민도서관 북페스티벌,옥천군 평생학습원 일원,2021-09-11,2021-09-11,"9월 독서의달 기념행사, 체험, 특강 등",옥천군,옥천군,,043-730-3613,http://lib.oc.go.kr,"평생학습원, 옥천군민도서관",충청북도 옥천군 옥천읍 관성로4길 10,충청북도 옥천군 옥천읍 문정리 366,36.30042417,127.5749213,2021-05-26,4430000,충청북도 옥천군
청소년 축제,청소년수련관,2021-10-16,2021-10-16,"공연, 체험부스 운영 등",옥천군,옥천군,,043-730-4984,http://www.oc.go.kr/youth/index.do,"평생학습원, 청소년수련관",충청북도 옥천군 옥천읍 동부로39,충청북도 옥천군 옥천읍 문정리 424-1,36.30665167,127.5767673,2021-05-26,4430000,충청북도 옥천군
안터마을 반딧불이 축제,충청북도 옥천군 석탄리 안터마을,2021-06-01,2021-06-15,"반딧불이 체험길 걷기,반딧불이 서식지 및 일대기 학습",안터마을회,안터마을회,,043-733-0631,,,충청북도 옥천군 동이면 안터2길 4,충청북도 옥천군 동이면 석탄리 603-1,36.31771644,127.620359,2021-05-26,4430000,충청북도 옥천군
제4회 옥천군민의 날 기념행사,옥천체육센터,2021-10-09,2021-10-09,"주민참여 및 축하가수 공연, 군민대상 시상",옥천군,옥천군,,043-730-3173,,,충청북도 옥천군 옥천읍 동부로 39-1,충청북도 옥천군 옥천읍 동부로 39-1,36.3062659,127.5780119,2021-05-26,4430000,충청북도 옥천군
옥천깻잎축제,군서초등학교 일원,2021-06-26,2021-06-26,깻잎 홍보 판매,옥천깻잎작목반연합회,옥천군,,043-730-4775,,"육영수생가, 정지용문학관, 장령산자연휴양림　",충청북도 옥천군 군서면 성왕로 517,충청북도 옥천군 군서면 동평리 551,36.27845779,127.5275742,2021-05-26,4430000,충청북도 옥천군
지용제,정지용생가 및 구읍일원,2021-10-21,2021-10-24,유튜브 및 공식홈페이지 등을 활용한 온라인 병행 지용문학상 시상 등 문학프로그램 운영 등,옥천문화원,옥천군,,043-733-5588,http://gy-festival.okcc.or.kr,,충청북도 옥천군 옥천읍 관성로 35,충청북도 옥천군 옥천읍 문정리 476,36.30209032,127.5731251,2021-05-26,4430000,충청북도 옥천군
중봉충렬제,관성회관 및 안남면표충사,2021-10-07,2021-10-09,"추모제향, 각종전시회 및 문화공연",옥천문화원·옥천청년회의소,옥천군,,043-733-5588,,,충청북도 옥천군 옥천읍 관성로 35,충청북도 옥천군 옥천읍 문정리 476,36.30209032,127.5731251,2021-05-26,4430000,충청북도 옥천군
2021 김포 도심축제,라베니체 수변상가 일원,2021-09-01,2021-11-30,빛 조형물 전시,김포문화재단,김포시,,031-980-2488,,,경기도 김포시 김포한강2로24번길 29,경기도 김포시 장기동 2001-1,37.64350661,126.676558,2021-05-21,4090000,경기도 김포시
천을산 해맞이,천을산 정상,2022-01-01,2022-01-01,"새해메세지, 대북타고, 해오름 함성 등",(재)수성문화재단,대구광역시 수성구,,053-666-2162,http://suseong.kr,"천을산 해맞이 동산, 고산초교",,대구광역시 수성구 가천동 산11-3,35.849688,128.695676,2021-05-21,3460000,대구광역시 수성구
상화문학제,비대면/수성문화원,2021-05-10,2021-06-12,"백일장 공모, 시낭송대회, 문학강연, 문학공연, 상화문학답사",수성문화원,수성문화원,대구광역시 수성구,053-768-0002,http://www.suseong.or.kr,,대구광역시 수성구 들안로16길 78,대구광역시 수성구 두산동 30,35.839227,128.618141,2021-05-21,3460000,대구광역시 수성구
수성못캠프야,수성못 상화동산,2021-06-05,2021-06-05,수성못 주제 스토리텔링형 공연,(사)이벤트협회,(사)이벤트협회,대구광역시 수성구,053-763-1908,http://suseong.kr,"수성못 상화시비, 수성랜드, 수성아트피아, 들안길먹거리타운",대구광역시 수성구 무학로 112,대구광역시 수성구 두산동 499-4,35.82937671,128.6205781,2021-05-21,3460000,대구광역시 수성구
수성못 뮤지컬 프린지 페스티벌,수성못 일대,2021-07-08,2021-07-11,수성못 주변 다양한 뮤지컬 중심의 거리공연 페스티벌,사)국제뮤지컬페스티벌,사)국제뮤지컬페스티벌,대구광역시 수성구,053-666-2171,http://suseong.kr,수성못 주변무대,대구광역시 수성구 무학로 112,대구광역시 수성구 두산동 499-4,35.82937671,128.6205781,2021-05-21,3460000,대구광역시 수성구
수성못 페스티벌,비대면/수성못/수성아트피아,2021-10-01,2021-10-03,"주제 공연, 시민예술가공연, 전시행사 등 공연영상콘텐츠 제작 및 온라인 게시",(재)수성문화재단,(재)수성문화재단,대구광역시 수성구,053-666-2163,http://www.ssfestival.net/,"들안길먹거리타운,  수성랜드, 카페촌",대구광역시 수성구 무학로112(두산동),대구광역시 수성구 두산동 499-4,35.82937671,128.6205781,2021-05-21,3460000,대구광역시 수성구
수성빛예술제,수성못 일대,2020-12-11,2021-01-03,주민참여 빛작품 전시 등,(재)수성문화재단,대구광역시 수성구,대구광역시 수성구,053-666-2162,http://www.suseong.or.kr,"들안길먹거리타운, 수성랜드, 카페촌",대구광역시 수성구 무학로112(두산동),대구광역시 수성구 두산동 499-4,35.82937671,128.6205781,2021-05-21,3460000,대구광역시 수성구
제54회 황토현동학농민혁명기념제,구민사 및 갑오동학혁명기념탑,2021-05-08,2021-05-09,"기념식, 공식제례, 청소년 축전, 연계행사, 체험행사 등",(사)동학농민혁명계승사업회,정읍시,,063-539-5433,http://www.donghak.or.kr,,전라북도 정읍시 덕천면 동학로 742,전라북도 정읍시 덕천면 하학리 산3-5,35.6337058445,126.8301188136,2021-05-18,4690000,전라북도 정읍시
단종문화제,장릉 및 영월읍 일원,2018-04-27,2018-04-29,"조신시대국장재현, 정순왕후선발대회, 야간칡줄다리기 등",영월문화재단,강원도 영월군,"문화체육관광부, 강원도, 강원랜드",033-375-6353,http://www.ywcf.com/,"장릉, 청령포, 단종, 동강둔치, 국장",강원도 영월군 영월읍 단종로 24,강원도 영월군 영월읍 영흥리 961-2,37.1860954916,128.4681824783,2020-01-01,4270000,강원도 영월군
동강국제사진제,동강사진박물관,2018-06-14,2018-07-21,"동강사진상, 워크숍, 사진예술전시",영월문화재단,강원도 영월군,강원도,033-375-6353,http://www.ywcf.com/,"동강사진상, 워크숍, 사진예술전시",강원도 영월군 영월읍 영월로 1909-10,강원도 영월군 영월읍 하송리 217-2,37.1819399427,128.4615510828,2020-01-01,4270000,강원도 영월군
영월동강뗏목축제,동강둔치 일원,2018-08-02,2018-08-05,"전통뗏목 시연, 맨손송어잡기, 래프팅 등 체험행사",영월문화재단,강원도 영월군,강원랜드,033-375-6353,http://www.ywcf.com/,"삼굿시연, 뗏목, 동강둔치, 래프팅, 카누, 물놀이",,강원도 영월군 영월읍 하송리 61-11,37.179437,,2020-01-01,4270000,강원도 영월군
김삿갓문화제,김삿갓유적지 일원,2018-10-05,2018-10-07,"조선시대영월과거대전, 백일장, 김삿갓 해학의 길 걷기 등",영월문화재단,강원도 영월군,"강원도, 강원랜드",033-375-6353,http://www.ywcf.com/,"김삿갓문학관, MTB라이딩, 김삿갓계곡, 전국휘호대회 등",강원도 영월군 김삿갓면 김삿갓로 216-22,강원도 영월군 김삿갓면 와석리 913,37.0794920057,128.6017366158,2020-01-01,4270000,강원도 영월군
영월동강겨울축제,동강둔치 일원,2016-12-24,2017-01-15,"맨손송어잡기, 연만들기, 철갑상어잡기, 눈썰매 등",영월문화재단,강원도 영월군,영월군사립박물관협회,033-375-6353,http://www.ywcf.com/,"맨손송어잡기, 연만들기, 철갑상어잡기, 눈썰매 등",,강원도 영월군 영월읍 하송리 61-11,37.179437,,2020-01-01,4270000,강원도 영월군
죽변항 수산물 축제,죽변항 일원,2020-12-11,2020-12-13,수산물 축제,울진군 축제발전위원회,울진군,죽변항수산물축제운영위원회/한울원자력본부,054-789-6851,,,경상북도 울진군 죽변면 죽변항길 124,경상북도 울진군 죽변면 죽변리 36-88,37.05775142,129.4247605,2021-04-15,5250000,경상북도 울진군
이천백사산수유꽃축제,백사면 도립리+송말리+경사리 일원,2019-03-29,2019-03-31,공연+체험+산수유제품판매,이천백사산수유꽃축제추진위원회,이천시,이천시,031-631-2104,http://www.2104sansooyou.com,반룡송+경사리벽화마을+원적산+영원사+송말리 연당+김좌근 고택+검바위 공원,경기도 이천시 백사면 원적로775번길 17,경기도 이천시 백사면 도립리 1006-1번지,37.34077593,127.4622972,2021-04-07,4070000,경기도 이천시
이천국제일루전페스티벌,이천시 설봉공원+이천아트홀,2020-09-17,2020-09-20,일루전 퍼포먼스+토크콘서트+드론쇼및퍼펫레이드,일루전페스티벌조직위원회,이천시,이천시,031-645-3008,http://iiif.or.kr/,온라인개최+다원예술축제+연극+마임+음악+서커스+퍼펫+마술등,경기도 이천시 경충대로2697번길 306,경기도 이천시 관고동 485번지,37.27793778,127.4269268,2021-04-07,4070000,경기도 이천시
원평공원 성탄트리탑 점등식,구미시,2021-12-01,2021-12-01,성탄트리 점등,구미장로총연합회,구미장로총연합회,구미시,054-461-9191,,,경상북도 구미시 형곡로 242,경상북도 구미시 형곡동 197-15,36.10893894,128.3418415,2021-05-09,5080000,경상북도 구미시
구미전국전통연희축제,구미시,2021-09-14,2021-09-15,구미지역 예술단체 전통예술공연,(사)한국연희협회경상북도지회,(사)한국연희협회경상북도지회,구미시,054-457-1082,,,경상북도 구미시 구미대로 402-1,경상북도 구미시 신평동 124-3,36.12255696,128.3632294,2021-05-09,5080000,경상북도 구미시
구미동화이야기축제,구미시,2021-05-21,2021-05-23,"어린이 뮤지컬, 밴드공연, 매직쇼 등",㈜경북IT뉴스,㈜경북IT뉴스,구미시,054-442-3002,www.gitnews.net,,경상북도 구미시 송정대로 121-11,경상북도 구미시 송정동 221-1,36.11850085,128.3514681,2021-05-09,5080000,경상북도 구미시
무을농악축제,구미시,2021-10-26,2021-10-26,구미지역 전통예술공연,무을농악보존회,무을농악보존회,구미시,,,,경상북도 구미시 무을면 상무로 1207,경상북도 구미시 무을면 무이리 245-9,36.25521958,128.2216072,2021-05-09,5080000,경상북도 구미시
섬강축제,간현관광지 섬강 일원,2018-08-14,2018-08-19,2019~2020년 개최 취소,섬강축제위원회,섬강축제위원회,원주시,033-737-5504,,,강원도 원주시 지정면 소금산길 26,강원도 원주시 지정면 간현리 1056-5,37.36489188,127.8325403,2021-04-30,4190000,강원도 원주시
원주 용수골꽃양귀비축제,원주시 판부면 용수골길,2020-05-23,2020-05-31,양귀비 축제 체험장 설치/양귀비 꽃차등 부스 운영,용수골꽃양귀비축제추진위원회,원주 용수골 꽃양귀비 축제 추진위원회,원주시,033-764-4443,,,강원도 원주시 판부면 용수골길 326,강원도 원주시 판부면 서곡리 1765-7,37.2839426,127.9404457,2021-04-30,4190000,강원도 원주시
원주 다이내믹댄싱카니발,댄싱공연장,2019-09-03,2019-09-08,2020년 개최 취소,(재)원주문화재단,원주시+제36사단,,033-763-9114,http://www.ddcwj.com/,,강원도 원주시 단구로 170,강원도 원주시 명륜동 345,37.336428,127.9462616,2021-04-30,4190000,강원도 원주시
원주 한지문화제,원주한지테마파크 일원,2020-09-03,2020-09-06,"온라인 한지문화제(방구석 온라인 전시, 클릭 한지키트, 온라인 챌린지)",원주한지문화제위원회,(사)한지개발원,,033-734-4739,http://www.wonjuhanji.co.kr/,,강원도 원주시 한지공원길 151,강원도 원주시 무실동 16,37.33437725,127.9353773,2021-04-30,4190000,강원도 원주시
2019 대구약령시한방문화축제,약령시(약전골목) 일원,2019-05-02,2019-05-06,"경연, 참여, 체험, 전시, 공연, 먹거리 등",(사)약령시보존위원회,"대구광역시, 대구광역시 중구","문화체육관광부, 한국관광공사, 대구시 한약협회, 대구시 한의사회, 한약도매협회 대구시지회, (주)대구시한약재도매시장",053-661-2178,,,대구광역시 중구 남성로 61 (동성로3가),대구광역시 중구 동성로3가 35-13,35.86728621,128.5933489,2021-07-01,3410000,대구광역시 중구
대구 문화제 야행,"약령시, 청라언덕",2019-08-23,2019-08-24,"문화(재)시설 오픈하우스, 전시, 공연, 체험, 강좌, 투어 등",대구광역시 중구,대구광역시 중구,"문화재청, 대구광역시",053-661-2181,,,,대구광역시 중구 장관동 43-6,35.86871316,128.5901541,2021-07-01,3410000,대구광역시 중구
향촌동수제화골목 2019년「빨간구두 이야기」,향촌동수제화골목 일원,2019-10-19,2019-10-20,"무대행사, 체험행사, 부대행사 등",대구광역시 수제화협회,대구광역시 수제화협회,대구광역시 중구,053-661-2046,,,,대구광역시 중구 대안동 14-1,35.87302298,128.592867,2021-07-01,3410000,대구광역시 중구
제2회 인천 송도크루즈 불꽃축제,골든하버 인천항크루즈터미널,2021-10-30,2021-10-30,멀티미디어 융복합 불꽃공연 및 부대행사,연수문화재단,연수구,,032-749-7304,,,인천광역시 연수구 국제항만대로 438,인천광역시 연수구 송도동 300-3,37.425126,126.5916752,2021-07-06,3520000,인천광역시 연수구
(가칭)문화로 동행축제,연구수 전역,2021-10-01,2021-10-03,"지역축제 연계, 시민 기획프로그램 운영",연수문화재단,연수구,,032-749-7304,,,인천광역시 연수구 새말로 120,인천광역시 연수구 연수동 578,37.41812199,126.6823541,2021-07-06,3520000,인천광역시 연수구
주안미디어문화축제,옛시민회관 쉼터 등 미추홀구 전역,2021-01-01,2021-12-31,미추홀의 특색있는 문화자원과 미디어 분야의 융합 콘텐츠를 만날 수 있는 축제 프로그램,인천광역시 미추홀구,인천광역시 미추홀구,,032-880-7978,https://www.michuhol.go.kr/culture/main.do,,,인천광역시 미추홀구 주안동 190-4,37.45858219,126.6796135,2021-07-05,3510500,인천광역시 미추홀구
